,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,punta arenas,75,CL,1567281091,74,-53.16,-70.91,6,14.4
1,thompson,90,CA,1567281091,82,55.74,-97.86,14,4.1
2,avarua,78,CK,1567280956,60,-21.21,-159.78,21,1.5
3,bama,70,CN,1567281092,90,24.14,107.25,20.55,2.43
4,cururupu,100,BR,1567281092,77,-1.82,-44.87,26.05,1.92
5,umm lajj,0,SA,1567281092,71,25.02,37.27,29.95,4.56
6,vestmannaeyjar,100,IS,1567281093,82,63.44,-20.27,9.15,3.55
7,atuona,81,PF,1567281093,77,-9.8,-139.03,26.05,6.23
8,sorland,100,NO,1567281093,86,67.67,12.69,11.55,4.53
9,flinders,0,AU,1567281094,100,-34.58,150.85,9.44,5.1
10,sawtell,75,AU,1567281094,87,-30.38,153.1,13,3.1
11,merauke,81,ID,1567281094,77,-8.49,140.4,24.05,9.19
12,coahuayana,100,MX,1567281094,62,18.62,-100.35,30.05,1.16
14,ilulissat,75,GL,1567281095,48,69.22,-51.1,7,2.1
15,castro,75,CL,1567281095,66,-42.48,-73.76,10,3.1
16,tuktoyaktuk,75,CA,1567281095,68,69.44,-133.03,4,1.5
19,inirida,100,CO,1567281096,82,3.87,-67.92,28.75,0.59
20,la roda,0,ES,1567281097,39,39.21,-2.16,29.44,2.6
21,aquiraz,0,BR,1567281097,58,-3.9,-38.39,30,5.7
22,ushuaia,90,AR,1567280539,69,-54.81,-68.31,3,10.8
23,nokaneng,2,BW,1567281097,13,-19.66,22.19,17.15,3.99
24,geraldton,75,CA,1567281098,45,49.72,-86.95,20,3.6
25,dikson,92,RU,1567281098,92,73.51,80.55,4.55,3.67
26,rikitea,95,PF,1567281098,83,-23.12,-134.97,22.95,9.37
27,busselton,100,AU,1567280868,57,-33.64,115.35,13.89,14.17
28,tecoanapa,75,MX,1567281099,70,16.99,-99.26,31,3.6
29,albany,75,US,1567281090,41,42.65,-73.75,25,4.6
30,cherskiy,93,RU,1567281099,85,68.75,161.3,1.15,1.69
31,bambous virieux,75,MU,1567281100,69,-20.34,57.76,23,6.2
32,kununurra,67,AU,1567281100,71,-15.77,128.74,11,1
33,bossangoa,73,CF,1567281100,93,6.5,17.45,21.35,1.08
34,touros,20,BR,1567281101,65,-5.2,-35.46,28,5.1
35,yaan,67,NG,1567281101,87,7.38,8.57,23.85,4.44
36,shingu,89,JP,1567281101,93,33.72,135.99,18.55,0.94
37,qaanaaq,100,GL,1567281102,46,77.48,-69.36,6.95,2.24
38,consett,20,GB,1567281102,76,54.85,-1.83,14,5.7
39,machaneng,0,BW,1567281102,10,-23.19,27.49,14.15,4.98
40,rio grande,75,BR,1567281103,63,-32.03,-52.1,17,3.6
41,grand gaube,75,MU,1567281103,69,-20.01,57.66,23,6.2
42,tasiilaq,5,GL,1567281104,61,65.61,-37.64,8,1.5
